ordem_id,conta_id,ativo_id,lado,quantidade,preco,data_ordem,status
1,1076,8,Compra,27,75.82,2026-03-08,Executada
2,1004,10,Venda,7,86.17,2025-12-28,Executada
3,1056,7,Compra,35,95.98,2025-10-08,Executada
4,1006,7,Venda,22,102.34,2026-04-25,Cancelada
5,1075,1,Compra,26,24.21,2026-03-16,Executada
6,1066,3,Venda,4,30.14,2025-08-06,Executada
7,1050,7,Venda,18,89.62,2025-03-26,Executada
8,1076,1,Compra,23,28.55,2025-02-12,Executada
9,1035,4,Compra,2,11.91,2026-05-01,Executada
10,1079,4,Venda,30,13.81,2025-06-22,Executada
11,1018,3,Compra,20,31.89,2025-11-17,Executada
12,1055,7,Compra,13,98.78,2025-09-07,Executada
13,1045,11,Compra,10,139.16,2025-02-13,Executada
14,1061,11,Compra,6,128.71,2025-12-17,Executada
15,1060,8,Venda,7,93.26,2026-04-17,Executada
16,1062,3,Venda,34,32.21,2026-07-07,Executada
17,1066,7,Venda,38,91.51,2025-09-10,Executada
18,1015,5,Compra,29,47.19,2026-01-25,Executada
19,1070,6,Venda,12,19.63,2025-09-23,Executada
20,1040,9,Compra,1,89.46,2026-02-22,Executada
21,1034,12,Venda,8,54.0,2025-01-19,Executada
22,1032,7,Venda,16,100.72,2026-01-14,Executada
23,1074,6,Venda,28,20.46,2026-04-11,Executada
24,1036,4,Compra,8,12.19,2026-07-04,Pendente
25,1027,4,Venda,14,12.05,2026-06-23,Executada
26,1016,4,Compra,19,12.35,2025-11-07,Executada
27,1075,3,Compra,18,35.34,2026-07-22,Executada
28,1020,11,Compra,8,141.91,2025-10-20,Executada
29,1063,6,Compra,12,19.87,2026-05-06,Executada
30,1011,7,Compra,32,98.38,2025-02-25,Executada
31,1079,5,Compra,6,39.39,2026-03-04,Executada
32,1032,9,Venda,25,112.78,2025-11-02,Cancelada
33,1061,5,Compra,37,45.45,2025-04-13,Pendente
34,1030,11,Venda,4,134.27,2025-06-11,Executada
35,1077,2,Compra,11,18.27,2026-04-28,Executada
36,1033,5,Venda,19,38.8,2025-08-29,Cancelada
37,1029,7,Compra,8,100.28,2025-10-01,Executada
38,1012,1,Venda,11,28.13,2025-10-24,Executada
39,1066,12,Venda,5,61.59,2026-05-29,Executada
40,1063,2,Compra,39,20.79,2025-11-28,Executada
41,1006,2,Compra,15,21.37,2025-10-04,Executada
42,1026,8,Venda,34,92.22,2025-07-06,Pendente
43,1062,11,Compra,8,127.42,2026-02-24,Executada
44,1017,3,Venda,22,32.89,2025-10-24,Executada
45,1058,9,Venda,3,89.53,2025-09-17,Executada
46,1058,9,Venda,1,98.74,2025-07-13,Executada
47,1070,11,Compra,8,117.83,2026-07-18,Executada
48,1042,8,Compra,32,71.7,2025-09-04,Executada
49,1046,9,Venda,1,89.67,2025-04-28,Executada
50,1019,11,Venda,3,144.07,2025-10-27,Executada
51,1039,7,Venda,31,89.39,2026-07-20,Executada
52,1028,10,Compra,9,110.19,2025-10-11,Executada
53,1060,6,Venda,33,23.27,2025-10-18,Executada
54,1069,3,Venda,29,29.85,2026-07-21,Executada
55,1055,8,Compra,21,93.72,2025-09-03,Executada
56,1033,7,Venda,3,102.9,2026-01-27,Executada
57,1023,8,Compra,3,82.65,2025-12-07,Cancelada
58,1063,2,Venda,34,16.21,2025-05-29,Executada
59,1023,2,Venda,31,17.9,2026-02-13,Executada
60,1049,11,Venda,9,144.84,2026-05-16,Cancelada
61,1007,10,Compra,2,103.67,2025-10-23,Pendente
62,1015,7,Compra,7,94.78,2025-11-04,Cancelada
63,1008,6,Venda,4,20.5,2026-03-19,Executada
64,1074,7,Compra,37,87.4,2025-03-23,Executada
65,1055,10,Compra,11,99.93,2025-05-28,Executada
66,1036,8,Compra,17,91.83,2026-04-23,Cancelada
67,1076,3,Venda,5,35.09,2025-11-04,Executada
68,1061,12,Venda,5,60.1,2025-07-24,Pendente
69,1068,2,Venda,16,19.13,2025-10-31,Pendente
70,1044,1,Venda,26,23.63,2025-02-21,Cancelada
71,1070,5,Venda,15,40.63,2025-07-15,Executada
72,1021,11,Compra,2,121.63,2026-03-29,Executada
73,1053,12,Compra,3,61.09,2025-12-02,Executada
74,1026,4,Venda,9,12.96,2025-10-08,Executada
75,1036,8,Venda,19,89.64,2026-04-26,Pendente
76,1022,4,Venda,26,11.38,2026-02-10,Executada
77,1075,2,Venda,30,19.66,2025-09-27,Executada
78,1054,2,Venda,15,16.26,2025-12-03,Cancelada
79,1032,11,Venda,2,143.23,2025-11-07,Executada
